frame_start,frame_end,mpoint
163215,163414,163314
163415,163814,163614
163815,164793,164304
164794,165415,165104
165416,165504,165460
165505,166893,166199
166894,167142,167018
167143,167427,167285
167428,167623,167525
167624,167962,167793
167963,168094,168028
168095,168263,168179
168264,168537,168400
168538,168626,168582
168627,168677,168652
168678,168730,168704
168731,168777,168754
168778,168848,168813
168849,168940,168894
168941,168974,168957
168975,169059,169017
169060,169947,169503
169948,169995,169971
169996,170083,170039
170084,170168,170126
170169,170660,170414
170661,170789,170725
170790,170868,170829
170869,170959,170914
170960,171010,170985
171011,171120,171065
171121,171167,171144
171168,171230,171199
171231,171301,171266
171302,172795,172048
172796,173281,173038
173282,173453,173367
173454,173591,173522
173592,173691,173641
173692,173838,173765
173839,173934,173886
173935,173973,173954
173974,174015,173994
174016,174101,174058
174102,174142,174122
174143,174595,174369
174596,174645,174620
174646,174739,174692
174740,174849,174794
174850,175274,175062
175275,175440,175357
175441,175532,175486
175533,175674,175603
175675,175744,175709
175745,176038,175891
176039,176263,176151
176264,176525,176394
176526,176640,176583
176641,176790,176715
176791,177650,177220
177651,179147,178399
179148,179250,179199
179251,179517,179384
179518,179638,179578
179639,179669,179654
179670,179960,179815
179961,180027,179994
180028,180068,180048
180069,180123,180096
180124,180188,180156
180189,180476,180332
180477,180624,180550
180625,180894,180759
180895,181205,181050
181206,181362,181284
181363,181424,181393
181425,181466,181445
181467,181545,181506
181546,181854,181700
181855,181949,181902
181950,182037,181993
182038,182710,182374
182711,182920,182815
182921,183311,183116
183312,183475,183393
183476,183743,183609
183744,183871,183807
183872,184116,183994
184117,184212,184164
184213,184420,184316
184421,184493,184457
184494,184567,184530
184568,184955,184761
184956,185100,185028
185101,185557,185329
185558,185681,185619
185682,185961,185821
185962,186230,186096
186231,186310,186270
186311,186679,186495
186680,186746,186713
186747,186985,186866
186986,187033,187009
187034,187172,187103
187173,187499,187336
187500,187731,187615
187732,188271,188001
188272,188405,188338
188406,189079,188742
189080,189178,189129
189179,189240,189209
189241,189413,189327
189414,189471,189442
189472,189828,189650
189829,190160,189994
190161,190268,190214
190269,190834,190551
190835,190928,190881
190929,191052,190990
191053,191407,191230
191408,195058,193233
195059,198911,196985
